Diagnosis,Specialist,DxGroup
CALCANEAL OSTEOCHONDROSIS,Orthopedist,OrthopedicConditionsOther
CALCANEAL STRESS FRACTURE,Orthopedist,Fractures
CALF CONTUSION,Orthopedist,BruiseorContusion
CALF HEMATOMA,Orthopedist,BruiseorContusion
CALF MUSCLE TEAR,Orthopedist,SprainsAndStrains
CALLUS FORMATION,Dermatologist,DermatologyConditionsOther
CALLUS FORMATION AND CRACKING,Dermatologist,DermatologyConditionsOther
CALLUSES OR CORNS,Dermatologist,DermatologyConditionsOther
CAMPYLOBACTER INFECTION,InfectiousDiseaseSpecialist,GastrointestinalInfections
CANDIDAL DIAPER DERMATITIS,Dermatologist,Dermatitis
CANDIDAL INTERTRIGO (YEAST INFECTION),Dermatologist,FungalInfections
CANDIDIASIS (THRUSH),Otolaryngologist,FungalInfections
CANINE COMPULSIVE DISORDER (CCD),Psychiatrist,ObsessiveCompulsiveDisorder
CANINE DISTEMPER,Generalist,Generalist
CANINE INFLUENZA,Generalist,Generalist
CANNABIS DEPENDENCE,SubstanceUseDisorderSpecialist,SubstanceUseOther
CANNABIS HYPEREMESIS SYNDROME,Gastroenterologist,AdverseReactionToAnotherSubstance
CANNABIS TOLERANCE,SubstanceUseDisorderSpecialist,SubstanceUseOther
CANNABIS-INDUCED ANXIETY,Psychiatrist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED DEPERSONALIZATION DISORDER,Psychiatrist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED GASTROINTESTINAL SYMPTOMS,Gastroenterologist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED MIGRAINE,Neurologist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED PANIC DISORDER,Psychiatrist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED POSTURAL TACHYCARDIA SYNDROME,CardiovascularSpecialist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED PSYCHOTIC DISORDER,Psychiatrist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED SEIZURES,Neurologist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED SEXUAL DYSFUNCTION,Psychiatrist,AdverseReactionToAnotherSubstance
CANNABIS-INDUCED TACHYCARDIA,CardiovascularSpecialist,AdverseReactionToAnotherSubstance
CAPGRAS SYNDROME,Psychiatrist,Psychosis_or_DelusionalDisorder
CAPILLARY FRAGILITY,Dermatologist,DermatologyConditionsOther
CAPSAICIN-INDUCED FLUSHING,Dermatologist,AdverseReactionToMedication
CAPSULAR CONTRACTURE,Generalist,Generalist
CAR SICKNESS,Otolaryngologist,VertigoAndDizziness
CARBAMAZEPINE-INDUCED BALANCE IMPAIRMENT,Neurologist,AdverseReactionToMedication
CARBAMAZEPINE-INDUCED BLURRED VISION,Ophthalmologist,AdverseReactionToMedication
CARBOHYDRATE INTOLERANCE,Endocrinologist,DietaryIntolerance
CARDIAC ARRHYTHMIAS,CardiovascularSpecialist,Arrhythmias
CARDIAC COMPLICATIONS,CardiovascularSpecialist,CardiovascularOther
CARDIAC DYSFUNCTION,CardiovascularSpecialist,CardiovascularOther
CARDIAC ISCHEMIA,CardiovascularSpecialist,CoronaryArteryDisease
CARDIAC-RELATED CHEST PAIN,CardiovascularSpecialist,CardiovascularOther
CARDIAC-RELATED SHORTNESS OF BREATH,CardiovascularSpecialist,CardiovascularOther
CARDILOC SIDE EFFECTS,CardiovascularSpecialist,AdverseReactionToMedication
CARDIOVASCULAR CONDITION,CardiovascularSpecialist,CardiovascularOther
CAREGIVER STRESS/BURNOUT,Psychiatrist,AnxietyDisorders
CAROTID ARTERY DISEASE,CardiovascularSpecialist,CardiovascularOther
CARTILAGE INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
CARTILAGE INFLAMMATION,Rheumatologist,RheumatologyOther
CATARACT SURGERY COMPLICATIONS,Ophthalmologist,Cataract
CATHETER-RELATED COMPLICATIONS,Generalist,Generalist
CAUDAL REGRESSION SYNDROME,Orthopedist,OrthopedicConditionsOther
CAVERNOUS MALFORMATION,Neurologist,NeurologyConditionsOther
CBD STONE,Gastroenterologist,Gallstones
CELIAC DISEASE FLARE-UP,Gastroenterologist,CeliacDisease
CELLULITE,Dermatologist,DermatologyConditionsOther
CELLULITIS COMPLICATION,InfectiousDiseaseSpecialist,SkinAndSoftTissueInfections
CENTRAL NERVOUS SYSTEM DISORDER,Neurologist,NeurologyConditionsOther
CENTRAL RETINAL VEIN OCCLUSION (CRVO),Ophthalmologist,RetinalCondition
CENTRAL SENSITIZATION SYNDROME,Neurologist,NeurologyConditionsOther
CEREBELLAR STROKE,Neurologist,Stroke
CEREBRAL CORTICO ATROPHY,Neurologist,NeurodegenerativeDisorders
CEREBRAL ISCHEMIA,Neurologist,Stroke
CEREBRAL MALARIA,InfectiousDiseaseSpecialist,Malaria
CEREBRAL PALSY-RELATED COMPLICATIONS,Neurologist,CerebralPalsy
CEREBRAL VENOUS SINUS THROMBOSIS,Neurologist,Stroke
CEREBRAL VENOUS SINUS THROMBOSIS (CVST),Neurologist,Stroke
CEREBROVASCULAR ACCIDENT (STROKE),Neurologist,Stroke
CEREBROVASCULAR DISEASE,Neurologist,Stroke
CERUMEN IMPACTION (EARWAX BLOCKAGE),Otolaryngologist,EarwaxBlockage
CERVICAL CHANGES,Gynecologist,GynecologyOther
CERVICAL CYST,Gynecologist,GynecologyOther
CERVICAL DILATION DISORDER,Gynecologist,GynecologyOther
CERVICAL DISC DEGENERATION,Orthopedist,NeckPain
CERVICAL EFFACEMENT AND DILATION,Obstetrician,PregnancyConditions
CERVICAL EPIDURAL COMPLICATION,Neurologist,NeurologyConditionsOther
CERVICAL EROSION,Gynecologist,GynecologyOther
CERVICAL FACTOR INFERTILITY,Gynecologist,GynecologyOther
CERVICAL FIBROID,Gynecologist,UterineFibroids
CERVICAL FIBROIDS,Gynecologist,UterineFibroids
CERVICAL INJURY,Orthopedist,SprainsAndStrains
CERVICAL LORDOSIS LOSS,Orthopedist,OrthopedicConditionsOther
CERVICAL MUCUS IMBALANCE,Gynecologist,GynecologyOther
CERVICAL POSITION CONFUSION,Orthopedist,OrthopedicConditionsOther
CERVICAL RIB,Orthopedist,OrthopedicConditionsOther
CERVICAL RIB SYNDROME,Orthopedist,OrthopedicConditionsOther
CERVICAL SPINAL CORD COMPRESSION,Neurologist,NeurologyConditionsOther
CERVICAL SPINE ABNORMALITY,Orthopedist,OrthopedicConditionsOther
CERVICAL SPINE ARTHRITIS,Rheumatologist,Osteoarthritis
CERVICAL SPINE MISALIGNMENT,Orthopedist,Scoliosis
CERVICAL SPONDYLITIS,Rheumatologist,Spondyloarthritis
CERVICAL STUMP GRANULATION TISSUE,Gynecologist,GynecologyOther
CESAREAN SCAR ENDOMETRIOSIS,Gynecologist,Endometriosis
CHAFING,Dermatologist,DermatologyConditionsOther
CHAFING OR FRICTION BURN,Dermatologist,DermatologyConditionsOther
CHANGE IN HAIR TEXTURE,Dermatologist,HairConditions
CHANGES IN BODY ODOR DUE TO HORMONAL IMBALANCE,Endocrinologist,EndocrinologyOther
CHANGES IN DAILY ROUTINE-RELATED ERECTILE DYSFUNCTION,Urologist,ErectileDysfunction
CHANGES IN DIET,Generalist,Generalist
CHANGES IN DIET AND EXERCISE,Endocrinologist,Obesity
CHANGES IN SLEEP PATTERNS AFFECTING MENSTRUAL CYCLE,Gynecologist,Menstrual Conditions
CHAPPED SKIN,Dermatologist,DermatologyConditionsOther
CHARGE SYNDROME,Pediatrician,PediatricOther
CHARLES BONNET SYNDROME,Ophthalmologist,OphthalmologyOther
CHEMICAL BURN OF THE THROAT,Otolaryngologist,Laryngitis
CHEMICAL CONTAMINATION,Generalist,Generalist
CHEMICAL DAMAGE,Generalist,Generalist
CHEMICAL DAMAGE FROM HAIR DYE,Dermatologist,HairConditions
CHEMICAL DAMAGE FROM STRAIGHTENING TREATMENT,Dermatologist,HairConditions
CHEMICAL DAMAGE TO HAIR FOLLICLES,Dermatologist,HairConditions
CHEMICAL EXPOSURE DERMATITIS,Dermatologist,Dermatitis
CHEMICAL GASTRITIS,Gastroenterologist,Gastroenteritis
CHEMICAL OR TOXIN EXPOSURE,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
CHEMICAL REACTION,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
CHEMICAL-INDUCED HAIR DAMAGE,AdverseReactionSpecialist,HairConditions
CHEMICAL-INDUCED HEADACHE,Neurologist,HeadacheOther
CHEMOTHERAPY-INDUCED MENOPAUSE,Gynecologist,Menopause
CHEMOTHERAPY-INDUCED NAUSEA AND VOMITING,AdverseReactionSpecialist,Vomiting
CHEMOTHERAPY-INDUCED TASTE CHANGES,AdverseReactionSpecialist,AdverseReactionToMedication
CHEMOTHERAPY-INDUCED THROMBOCYTOPENIA,AdverseReactionSpecialist,Thrombocytopenia
CHEST IRRITATION DUE TO OTHER CAUSES,Pulmonologist,PulmonologyOther
CHIA SEED ALLERGY,Allergist,AllergicReaction
CHIA SEED STUCK IN THROAT,Otolaryngologist,OtolaryngologyOther
CHIGGER BITES,Dermatologist,Insect_StingorBiteorReaction
CHIKUNGUNYA VIRUS,InfectiousDiseaseSpecialist,VectorBorneDiseases
CHILBLAIN LUPUS,Dermatologist,LupusErythematosus
CHILI-INDUCED ALLERGIC REACTION,AdverseReactionSpecialist,AdverseReactionSpecialistOther
CHILI-INDUCED FOOD POISONING,Gastroenterologist,Gastroenteritis
CHILI-INDUCED GASTROINTESTINAL IRRITATION,Gastroenterologist,Gastroenteritis
CHLAMYDIA INFECTION,Gynecologist,STIs
CHLAMYDIA TRACHOMATIS,InfectiousDiseaseSpecialist,STIs
CHLORINE ALLERGY,Allergist,AllergicReaction
CHLORINE IRRITATION,Dermatologist,Dermatitis
CHOCOLATE CRAVING DISORDER,Psychiatrist,EatingDisorders
CHOLANGIOCARCINOMA,Gastroenterologist,Cancer_GIother
CHOLANGITIS,Gastroenterologist,BiliaryIssues
CHOLERA,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
CHOLESTASIS OF PREGNANCY,Obstetrician,PregnancyConditions
CHOLESTASIS:,Gastroenterologist,BiliaryIssues
CHOLINERGIC CRISIS,Neurologist,NeurologyConditionsOther
CHONDRITIS,Orthopedist,SprainsAndStrains
CHONDROSARCOMA,Orthopedist,Cancer_Bone
CHORDOMA,Orthopedist,Cancer_Bone
CHOROID PLEXUS CYST,Ophthalmologist,OphthalmologyOther
CHOROIDAL MELANOMA,Ophthalmologist,Melanoma
CHROMOSOME 22Q11.2 DELETION SYNDROME,Generalist,Generalist
CHRONIC ANKLE SPRAINS,Orthopedist,SprainsAndStrains
CHRONIC COUGH DUE TO POSTNASAL DRIP,Otolaryngologist,AllergicRhinitis
CHRONIC DAILY HEADACHES,Neurologist,HeadacheOther
CHRONIC DENTAL ABSCESS,Dentist,ToothAbscess
CHRONIC DIARRHEA,Gastroenterologist,Diarrhea
CHRONIC DISEASE,Generalist,Generalist
CHRONIC DISEASE ANEMIA,Hematologist,Anemia
CHRONIC DISEASE-RELATED ANEMIA,Hematologist,Anemia
CHRONIC DRY EYE,Ophthalmologist,SjogrensSyndrome
CHRONIC EPSTEIN-BARR VIRUS (EBV) INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
CHRONIC EXERTIONAL COMPARTMENT SYNDROME,Orthopedist,OrthopedicConditionsOther
CHRONIC EXERTIONAL COMPARTMENT SYNDROME (CECS),Orthopedist,OrthopedicConditionsOther
CHRONIC FATIGUE SYNDROME/ENCEPHALOMYELITIS,Rheumatologist,RheumatologyOther
CHRONIC FLU,InfectiousDiseaseSpecialist,Influenza
CHRONIC GRANULOMATOUS DISEASE,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
CHRONIC HEPATITIS,Gastroenterologist,Hepatitis
CHRONIC IDIOPATHIC INTESTINAL PSEUDO-OBSTRUCTION (CIIP),Gastroenterologist,GastrointestinalMotilityDisorders
CHRONIC INFECTION OR INFLAMMATION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
CHRONIC INFLAMMATORY DEMYELINATING POLYNEUROPATHY,Neurologist,Neuropathy
CHRONIC INFLAMMATORY DISORDER,Rheumatologist,RheumatoidArthritis
CHRONIC INFLAMMATORY MYOPATHY,Rheumatologist,RheumatoidArthritis
CHRONIC INFLAMMATORY RESPONSE SYNDROME (CIRS),Generalist,Generalist
CHRONIC INFLAMMATORY SKIN CONDITION,Dermatologist,DermatologyConditionsOther
CHRONIC KIDNEY DISEASE-RELATED HORMONAL IMBALANCE,Endocrinologist,EndocrinologyOther
CHRONIC LAXATIVE USE,Gastroenterologist,AdverseReactionToMedication
CHRONIC LOW BACK PAIN,Orthopedist,BackPain
CHRONIC LOWER BACK PAIN,Orthopedist,BackPain
CHRONIC LYME DISEASE,InfectiousDiseaseSpecialist,LymeDisease
CHRONIC MASTURBATION SYNDROME,Psychiatrist,PsychiatryOther
CHRONIC MOLD EXPOSURE,Pulmonologist,PulmonologyOther
CHRONIC MOTOR TIC DISORDER,Neurologist,TouretteSyndrome
CHRONIC MUSCULOSKELETAL PAIN,Generalist,Chronic_Pain
CHRONIC MYELOGENOUS LEUKEMIA (CML),Hematologist,Leukemia
CHRONIC MYELOMONOCYTIC LEUKEMIA,Hematologist,Leukemia
CHRONIC MYELOMONOCYTIC LEUKEMIA (CMML),Hematologist,Leukemia
CHRONIC NONBACTERIAL PROSTATITIS,Urologist,Prostatitis
CHRONIC PAIN,Generalist,Chronic_Pain
CHRONIC PELVIC PAIN,Gynecologist,PelvicPain
CHRONIC PROSTATITIS/CHRONIC PELVIC PAIN SYNDROME,Urologist,Prostatitis
CHRONIC RESPIRATORY INFECTION,Pulmonologist,RespiratoryTractInfections
CHRONIC SNORING,Otolaryngologist,OtolaryngologyOther
CHRONIC STRESS AND ANXIETY,Psychiatrist,AnxietyDisorders
CHRONIC STRESS-INDUCED SKIN AGING,Dermatologist,AnxietyDisorders
CHRONIC STRESS/ANXIETY,Psychiatrist,AnxietyDisorders
CHRONIC SUBDURAL HEMATOMA (CDH),Neurologist,TraumaticBrainInjury
CHRONIC TENSION HEADACHE,Neurologist,HeadacheOther
CHRONIC TENSION HEADACHES,Neurologist,HeadacheOther
CHRONIC THROAT IRRITATION,Otolaryngologist,Pharygitis
CHRONIC URTICARIA-RELATED BACK PAIN,Dermatologist,BackPain
CHRONIC VIRAL INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
CHURG-STRAUSS SYNDROME,Rheumatologist,Vasculitis
CIRCULATION ISSUE,CardiovascularSpecialist,CardiovascularOther
CIRCULATORY DISORDER,CardiovascularSpecialist,CardiovascularOther
CIRRHOSIS:,Gastroenterologist,Cirrhosis
CITRIC ACID INTOLERANCE,Gastroenterologist,DietaryIntolerance
CLAVICLE DISLOCATION,Orthopedist,Dislocation
CLAVICLE PROMINENCE,Orthopedist,OrthopedicConditionsOther
CLEFT LIP AND PALATE,Otolaryngologist,OtolaryngologyOther
CLINDAMYCIN-RESISTANT ACNE,Dermatologist,Acne
CLITORAL DESENSITIZATION,Gynecologist,GynecologyOther
CLITORAL HYPERSENSITIVITY,Gynecologist,GynecologyOther
CLITORAL INFECTION,Gynecologist,VaginalInfections
CLITORAL INJURY,Gynecologist,GynecologyOther
CLITORAL IRRITATION,Gynecologist,Vulvitis
CLITORAL IRRITATION OR INFLAMMATION,Gynecologist,Vulvitis
CLITORAL LACERATION,Gynecologist,GynecologyOther
CLITORAL PAPILLOMA,Gynecologist,GynecologyOther
CLITOROMEGALY,Gynecologist,GynecologyOther
CLOGGED COMEDONES,Dermatologist,Acne
CLOGGED HAIR FOLLICLES,Dermatologist,HairConditions
CLOGGED MILK DUCT,Gynecologist,Breast Conditions
CLONAZEPAM OVERDOSE,SubstanceUseDisorderSpecialist,SubstanceUseOther
CLONAZEPAM SIDE EFFECTS,AdverseReactionSpecialist,AdverseReactionToMedication
CLOSED COMEDONE BREAKOUT,Dermatologist,Acne
CLUBFOOT,Orthopedist,OrthopedicConditionsOther
CLUNEAL NERVE ENTRAPMENT,Neurologist,Neuropathy
CML PROGRESSION,Hematologist,Leukemia
CMV COLITIS,Gastroenterologist,GastrointestinalInfections
COAGULATION DISORDER,Hematologist,ThrombosisAndClottingDisorders
COARCTATION OF THE AORTA,CardiovascularSpecialist,CongenitalHeartDefects
COCAINE TOXICITY,SubstanceUseDisorderSpecialist,SubstanceUseOther
COCAINE WITHDRAWAL,SubstanceUseDisorderSpecialist,SubstanceUseOther
COCAINE-INDUCED CHEST PAIN,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COCAINE-INDUCED HEADACHE,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COCAINE-INDUCED RHINITIS,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COCCYX INJURY,Orthopedist,BruiseorContusion
COCKAYNE SYNDROME,Pediatrician,PediatricGrowthAndDevelopmentalDelays
COFFEE ALLERGY,Allergist,AllergicReaction
COFFEE BREATH,Otolaryngologist,OtolaryngologyOther
COFFEE-INDUCED BOWEL CHANGES,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COFFEE-INDUCED CONSTIPATION,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COFFEE-INDUCED DIARRHEA,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COFFEE-INDUCED IRRITABLE BOWEL SYNDROME (IBS),AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COGNITIVE PROCESSING DISORDER,Psychiatrist,PsychiatryOther
COLD EXPOSURE,Generalist,Generalist
COLD INTOLERANCE,Generalist,Generalist
COLD OR UPPER RESPIRATORY INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
COLD OR VIRAL INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
COLD SORE (HSV1),Otolaryngologist,OralInfections
COLD WATER URTICARIA,Dermatologist,Hives
COLD-INDUCED CHILBLAINS,Dermatologist,DermatologyConditionsOther
COLD-INDUCED LARYNGITIS,Otolaryngologist,Laryngitis
COLD-INDUCED RHINITIS,Otolaryngologist,Rhinitis
COLD-INDUCED THROAT IRRITATION,Otolaryngologist,Pharygitis
COLD-RELATED EYE IRRITATION,Ophthalmologist,OphthalmologyOther
COLD-RELATED SLEEP DISTURBANCE,Pulmonologist,InsomniaAndOtherSleepDisorders
COLLAGEN SUPPLEMENT SIDE EFFECTS,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COLLARBONE CONTUSION,Orthopedist,BruiseorContusion
COLLARBONE INJURY,Orthopedist,SprainsAndStrains
COLLARBONE SPRAIN,Orthopedist,SprainsAndStrains
COLLOID CYST,Neurologist,BrainTumors
COLLOID CYST IN THE 3RD VENTRICLE,Neurologist,BrainTumors
COLOBOMA,Ophthalmologist,OphthalmologyOther
COLON CANCER LIVER METASTASIS,Gastroenterologist,Cancer_GIother
COLON POLYPS,Gastroenterologist,GastrointestinalPolyps
COLONIC INERTIA,Gastroenterologist,GastrointestinalMotilityDisorders
COLONIC POLYPS,Gastroenterologist,GastrointestinalPolyps
COLONOSCOPY PREPARATION SIDE EFFECTS,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
COLOR BLINDNESS,Ophthalmologist,OphthalmologyOther
COMBINATION OF HORMONAL IMBALANCE AND STRESS-INDUCED ACNE,Dermatologist,Acne
COMMON COLD HEADACHE,Neurologist,HeadacheOther
COMMON COLD OR RESPIRATORY INFECTION,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
COMMON VARIABLE IMMUNODEFICIENCY,Allergist,ImmunodeficiencyCondition
COMMUNICATING HYDROCEPHALUS,Neurologist,NeurologyConditionsOther
COMMUNICATION AND TRUST ISSUES,Psychiatrist,PsychiatryOther
COMMUNICATION DISORDER,Generalist,Generalist
COMMUNICATION DISRUPTION,Generalist,Generalist
COMODONAL ACNE,Dermatologist,Acne
COMPLETE ABORTION,Obstetrician,PregnancyConditions
COMPLEX MIGRAINE,Neurologist,Migraine
COMPLEX POST-TRAUMATIC STRESS DISORDER,Psychiatrist,PostTraumaticStressDisorder
COMPLEX TEAR IN THE ANTERIOR AND POSTERIOR HORNS OF THE LATERAL MENISCUS,Orthopedist,Knee Conditions
COMPLICATIONS FROM SURGERY,Generalist,Generalist
COMPLICATIONS FROM VY ADVANCEMENT FLAP SURGERY,Dermatologist,DermatologyConditionsOther
COMPOUND FRACTURE,Orthopedist,Fractures
COMPULSIVE BEHAVIOR DISORDER,Psychiatrist,ObsessiveCompulsiveDisorder
CONCERNS ABOUT AGE AND FUTURE FERTILITY,Gynecologist,GynecologyOther
CONCUSSION-RELATED VISUAL IMPAIRMENT,Ophthalmologist,OphthalmologyOther
CONDOM-RELATED IRRITATION,Dermatologist,Dermatitis
CONGENITAL ABSENCE OF TESTIS,Urologist,CongenitalMalformation_Other
CONGENITAL ABSENCE OF THE VAS DEFERENS,Urologist,CongenitalMalformation_Other
CONGENITAL AMEGAKARYOCYTIC THROMBOCYTOPENIA (CAMT),Hematologist,Thrombocytopenia
CONGENITAL ANORGASMIA,Urologist,CongenitalMalformation_Other
CONGENITAL BONE DEFORMITY,Orthopedist,CongenitalMalformation_Other
CONGENITAL CRANIOFACIAL ABNORMALITY,Generalist,CongenitalMalformation_Other
CONGENITAL FACIAL ASYMMETRY,Generalist,CongenitalMalformation_Other
CONGENITAL GLAUCOMA,Ophthalmologist,CongenitalMalformation_Other
CONGENITAL HEARING LOSS,Otolaryngologist,HearingLoss
CONGENITAL HEART DISEASE,CardiovascularSpecialist,CongenitalHeartDefects
CONGENITAL INSENSITIVITY TO PAIN WITH ANHIDROSIS (CIPA),Neurologist,NeurologyConditionsOther
CONGENITAL LIMB DEFORMITY,Orthopedist,CongenitalMalformation_Other
CONGENITAL MALFORMATION,Generalist,CongenitalMalformation_Other
CONGENITAL MEGALOPHALLUS,Urologist,CongenitalMalformation_Urology_Male
CONGENITAL MEGAPREPUCE,Urologist,CongenitalMalformation_Urology_Male
CONGENITAL MICROPHTHALMIA,Ophthalmologist,CongenitalMalformation_Other
CONGENITAL MYASTHENIC SYNDROME (CMS),Neurologist,MyastheniaGravis
CONGENITAL NASAL PYRIFORM APERTURE STENOSIS,Otolaryngologist,CongenitalMalformation_Other
CONGENITAL RBBB,CardiovascularSpecialist,CongenitalHeartDefects
CONGENITAL SPINAL CORD ABNORMALITY,Neurologist,CongenitalMalformation_Other
CONGENITAL TAIL GROWTH,Orthopedist,CongenitalMalformation_Other
CONGESTIVE HEART FAILURE EXACERBATION,CardiovascularSpecialist,CongestiveHeartFailure
CONJUNCTIVAL HEMORRHAGE,Ophthalmologist,EyeConjunctivalConditionOther
CONJUNCTIVAL MELANOMA,Dermatologist,Melanoma
CONJUNCTIVAL MELANOSIS,Ophthalmologist,EyeConjunctivalConditionOther
CONJUNCTIVAL PAPILLOMA,Ophthalmologist,EyeConjunctivalConditionOther
CONN'S SYNDROME,Endocrinologist,AdrenalGlandDisorders
CONNECTIVE TISSUE DISORDER,Rheumatologist,RheumatologyOther
CONSTIPATION-PREDOMINANT FUNCTIONAL GASTROINTESTINAL DISORDER,Gastroenterologist,GastrointestinalMotilityDisorders
CONSTIPATION-PREDOMINANT IBS,Gastroenterologist,Constipation
CONSTIPATION-PREDOMINANT IRRITABLE BOWEL SYNDROME (IBS-C),Gastroenterologist,IBS
CONSTIPATION-RELATED ABDOMINAL DISTENTION,Gastroenterologist,ConstipationConditions
CONSTIPATION-RELATED BACK DISCOMFORT,Gastroenterologist,ConstipationConditions
CONSTIPATION-RELATED HEADACHE,Gastroenterologist,ConstipationConditions
CONSTIPATION-RELATED ISSUES,Gastroenterologist,ConstipationConditions
CONSTIPATION-RELATED PAIN,Gastroenterologist,ConstipationConditions
CONSTIPATION-RELATED SYMPTOMS,Gastroenterologist,ConstipationConditions
CONSTRICTIVE PERICARDITIS,CardiovascularSpecialist,PericardialDiseases
CONTACT LENS DISLOCATION,Ophthalmologist,OphthalmologyOther
CONTACT LENS INTOLERANCE,Ophthalmologist,OphthalmologyOther
CONTACT LENS OVERWEAR SYNDROME,Ophthalmologist,OphthalmologyOther
CONTACT LENS-RELATED EYE INFECTION,Ophthalmologist,OphthalmologyOther
CONTRACEPTION,Gynecologist,GynecologyOther
CONTRACEPTIVE PILL SIDE EFFECTS,Gynecologist,AdverseReactionToMedication
CONTRACEPTIVE SIDE EFFECT,Gynecologist,AdverseReactionToMedication
CONTRACEPTIVE-RELATED SIDE EFFECTS,Gynecologist,AdverseReactionToMedication
"CONTUSION: A BRUISE CAUSED BY BLUNT FORCE TRAUMA, RESULTING IN PAIN, REDNESS, AND SWELLING.",Orthopedist,BruiseorContusion
"CONTUSION: A BRUISE ON THE SKIN OR UNDERLYING TISSUES, TYPICALLY CAUSED BY A DIRECT BLOW OR TRAUMA TO THE AREA",Dermatologist,BruiseorContusion
CONTUSIONS,Dermatologist,BruiseorContusion
COPROLALIA,Psychiatrist,PsychiatryOther
CORAL SNAKE BITE,Dermatologist,Animal_bite
CORNEAL DYSTROPHY,Ophthalmologist,Cornea_Condition
CORNEAL EROSION,Ophthalmologist,Cornea_Condition
CORNEAL HAZE,Ophthalmologist,Cornea_Condition
CORNEAL INFECTION,Ophthalmologist,Cornea_Condition
CORNEAL IRREGULARITIES,Ophthalmologist,Cornea_Condition
CORNEAL IRREGULARITY,Ophthalmologist,Cornea_Condition
CORNEAL SCARRING,Ophthalmologist,Cornea_Condition
CORNEAL TEAR,Ophthalmologist,Cornea_Condition
CORNELIA DE LANGE SYNDROME (CDLS),Pediatrician,PediatricGrowthAndDevelopmentalDelays
CORNS AND CALLUSES,Dermatologist,Corns_Calluses
CORNS OR CALLUSES,Dermatologist,Corns_Calluses
CORPUS LUTEAL CYST,Gynecologist,OvarianCysts
CORPUS LUTEUM CYST,Gynecologist,OvarianCysts
CORPUS LUTEUM DISCOMFORT,Gynecologist,PelvicPain
CORTICOSTEROID-INDUCED FLUID RETENTION,Endocrinologist,AdverseReactionToMedication
CORTISONE INJECTION SIDE EFFECT,Dermatologist,AdverseReactionToMedication
COSMETIC CONCERN,Generalist,Generalist
COSMETICS-INDUCED ACNE,Dermatologist,Acne
COUGH HEADACHE,Neurologist,HeadacheOther
COVID-19 RELATED SYMPTOMS,InfectiousDiseaseSpecialist,COVID_19
COVID-19 SEQUELAE,Generalist,COVID_19
COVID-19 VACCINE ADVERSE REACTION,AdverseReactionSpecialist,AdverseReactionToVaccine
COW ALLERGY,Allergist,AllergicReaction
COW'S MILK PROTEIN INTOLERANCE,Gastroenterologist,DietaryIntolerance
CRACKED HEELS,Dermatologist,DermatologyConditionsOther
CRANIOCERVICAL INSTABILITY (CCI),Neurologist,NeurologyConditionsOther
CRANIOFACIAL MICROSOMIA,Generalist,CongenitalMalformation_Other
CREATINE SUPPLEMENTATION-RELATED LIVER INJURY,AdverseReactionSpecialist,NonAlcoholicFattyLiverDisease
CREPITUS,Orthopedist,OrthopedicConditionsOther
CREUTZFELDT-JAKOB DISEASE (CJD),Neurologist,NeurodegenerativeDisorders
CRICOPHARYNGEAL SPASM,Otolaryngologist,OtolaryngologyOther
CRITICAL LIMB ISCHEMIA (CLI),CardiovascularSpecialist,PeripheralArteryDisease
CROSSED FUSED RENAL ECTOPIA,Urologist,KidneyStones
CROWDED TEETH,Dentist,Malocclusion
CRUSHED OR SEVERED NERVES,Neurologist,Neuropathy
CRYPTOGENIC ORGANIZING PNEUMONIA,Pulmonologist,Pneumonia
CRYPTOSPORIDIOSIS,InfectiousDiseaseSpecialist,ParasiticInfections
CUBITAL TUNNEL SYNDROME (CTS),Orthopedist,CarpalTunnelSyndrome
CUBOID SYNDROME,Orthopedist,SprainsAndStrains
